id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penderita,satuan,tahun,jenis_penderita
73,32,JAWA BARAT,3271,KOTA BOGOR,56411.0,ORANG,2021,Hipertensi
74,32,JAWA BARAT,3272,KOTA SUKABUMI,70857.0,ORANG,2021,Hipertensi
75,32,JAWA BARAT,3273,KOTA BANDUNG,132662.0,ORANG,2021,Hipertensi
76,32,JAWA BARAT,3274,KOTA CIREBON,77481.0,ORANG,2021,Hipertensi
77,32,JAWA BARAT,3275,KOTA BEKASI,78170.0,ORANG,2021,Hipertensi
78,32,JAWA BARAT,3276,KOTA DEPOK,167199.0,ORANG,2021,Hipertensi
79,32,JAWA BARAT,3277,KOTA CIMAHI,66240.0,ORANG,2021,Hipertensi
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,110862.0,ORANG,2021,Hipertensi
81,32,JAWA BARAT,3279,KOTA BANJAR,27776.0,ORANG,2021,Hipertensi
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,12185.0,ORANG,2022,Hipertensi
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,556178.0,ORANG,2022,Hipertensi
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,58089.0,ORANG,2022,Hipertensi
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,397464.0,ORANG,2022,Hipertensi
86,32,JAWA BARAT,3205,KABUPATEN GARUT,160510.0,ORANG,2022,Hipertensi
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5211.0,ORANG,2022,Hipertensi
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,135511.0,ORANG,2022,Hipertensi
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9521.0,ORANG,2022,Hipertensi
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,29798.0,ORANG,2022,Hipertensi
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13181.0,ORANG,2022,Hipertensi
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,20495.0,ORANG,2022,Hipertensi
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9413.0,ORANG,2022,Hipertensi
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,26554.0,ORANG,2022,Hipertensi
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2914.0,ORANG,2022,Hipertensi
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,29475.0,ORANG,2022,Hipertensi
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,32140.0,ORANG,2022,Hipertensi
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7303.0,ORANG,2022,Hipertensi
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,80282.0,ORANG,2022,Hipertensi
100,32,JAWA BARAT,3271,KOTA BOGOR,18737.0,ORANG,2022,Hipertensi
101,32,JAWA BARAT,3272,KOTA SUKABUMI,22026.0,ORANG,2022,Hipertensi
102,32,JAWA BARAT,3273,KOTA BANDUNG,65357.0,ORANG,2022,Hipertensi
103,32,JAWA BARAT,3274,KOTA CIREBON,11533.0,ORANG,2022,Hipertensi
104,32,JAWA BARAT,3275,KOTA BEKASI,43665.0,ORANG,2022,Hipertensi
105,32,JAWA BARAT,3276,KOTA DEPOK,180368.0,ORANG,2022,Hipertensi
106,32,JAWA BARAT,3277,KOTA CIMAHI,8542.0,ORANG,2022,Hipertensi
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9124.0,ORANG,2022,Hipertensi
108,32,JAWA BARAT,3279,KOTA BANJAR,10841.0,ORANG,2022,Hipertensi
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,7775.0,ORANG,2023,Hipertensi
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,175867.0,ORANG,2023,Hipertensi
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,411638.0,ORANG,2023,Hipertensi
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,360106.0,ORANG,2023,Hipertensi
113,32,JAWA BARAT,3205,KABUPATEN GARUT,106219.0,ORANG,2023,Hipertensi
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,91707.0,ORANG,2023,Hipertensi
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,94321.0,ORANG,2023,Hipertensi
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82946.0,ORANG,2023,Hipertensi
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,15735.0,ORANG,2023,Hipertensi
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69401.0,ORANG,2023,Hipertensi
